Model,Accuracy,Balanced Accuracy,F1 Score,matthews_corrcoef,precision_score,recall_score
SGDClassifier,1.0,1.0,1.0,1.0,1.0,1.0
CalibratedClassifierCV,1.0,1.0,1.0,1.0,1.0,1.0
Perceptron,1.0,1.0,1.0,1.0,1.0,1.0
PassiveAggressiveClassifier,1.0,1.0,1.0,1.0,1.0,1.0
LogisticRegression,1.0,1.0,1.0,1.0,1.0,1.0
AdaBoostClassifier,0.9850746268656716,0.9852941176470589,0.9850746268656716,0.9705882352941176,0.9705882352941176,1.0
LinearDiscriminantAnalysis,0.9850746268656716,0.9852941176470589,0.9850746268656716,0.9705882352941176,0.9705882352941176,1.0
RidgeClassifierCV,0.9850746268656716,0.9852941176470589,0.9850746268656716,0.9705882352941176,0.9705882352941176,1.0
RidgeClassifier,0.9850746268656716,0.9852941176470589,0.9850746268656716,0.9705882352941176,0.9705882352941176,1.0
RandomForestClassifier,0.9850746268656716,0.9852941176470589,0.9850746268656716,0.9705882352941176,0.9705882352941176,1.0
BaggingClassifier,0.9850746268656716,0.9852941176470589,0.9850746268656716,0.9705882352941176,0.9705882352941176,1.0
LinearSVC,0.9850746268656716,0.9852941176470589,0.9850746268656716,0.9705882352941176,0.9705882352941176,1.0
ExtraTreesClassifier,0.9850746268656716,0.9852941176470589,0.9850746268656716,0.9705882352941176,0.9705882352941176,1.0
LGBMClassifier,0.9850746268656716,0.9852941176470589,0.9850746268656716,0.9705882352941176,0.9705882352941176,1.0
KNeighborsClassifier,0.9701492537313433,0.9705882352941176,0.9701359512597441,0.9420164319072111,0.9428571428571428,1.0
NuSVC,0.9701492537313433,0.9705882352941176,0.9701359512597441,0.9420164319072111,0.9428571428571428,1.0
SVC,0.9701492537313433,0.9705882352941176,0.9701359512597441,0.9420164319072111,0.9428571428571428,1.0
XGBClassifier,0.9701492537313433,0.9705882352941176,0.9701359512597441,0.9420164319072111,0.9428571428571428,1.0
ExtraTreeClassifier,0.9402985074626866,0.9407308377896613,0.9402719025194881,0.8822483438979467,0.9142857142857143,0.9696969696969697
DecisionTreeClassifier,0.9402985074626866,0.9407308377896613,0.9402719025194881,0.8822483438979467,0.9142857142857143,0.9696969696969697
GaussianNB,0.8955223880597015,0.8952762923351159,0.8954757982661941,0.7912581203614547,0.90625,0.8787878787878788
BernoulliNB,0.8656716417910447,0.8663101604278074,0.865491938301802,0.734587090356469,0.8333333333333334,0.9090909090909091
NearestCentroid,0.8507462686567164,0.8511586452762923,0.8506797562987204,0.7029440798701537,0.8285714285714286,0.8787878787878788
QuadraticDiscriminantAnalysis,0.6119402985074627,0.6127450980392157,0.6109008528784649,0.2267057854581992,0.5945945945945946,0.6666666666666666
LabelSpreading,0.5074626865671642,0.5,0.3416580464016551,0.0,0.0,0.0
LabelPropagation,0.5074626865671642,0.5,0.3416580464016551,0.0,0.0,0.0
DummyClassifier,0.4925373134328358,0.5,0.3250746268656717,0.0,0.4925373134328358,1.0
