Model,Accuracy,Balanced Accuracy,F1 Score,matthews_corrcoef,precision_score,recall_score
LinearDiscriminantAnalysis,1.0,1.0,1.0,1.0,1.0,1.0
SGDClassifier,0.9743589743589743,0.9848484848484849,0.9751479289940829,0.9116846116771036,0.8571428571428571,1.0
Perceptron,0.9743589743589743,0.9848484848484849,0.9751479289940829,0.9116846116771036,0.8571428571428571,1.0
LinearSVC,0.9487179487179487,0.9696969696969697,0.9515796703296703,0.8393720596645177,0.75,1.0
PassiveAggressiveClassifier,0.9487179487179487,0.9696969696969697,0.9515796703296703,0.8393720596645177,0.75,1.0
RidgeClassifierCV,0.9743589743589743,0.9166666666666667,0.9733848241310928,0.8993461677306268,1.0,0.8333333333333334
RidgeClassifier,0.9743589743589743,0.9166666666666667,0.9733848241310928,0.8993461677306268,1.0,0.8333333333333334
LogisticRegression,0.9743589743589743,0.9166666666666667,0.9733848241310928,0.8993461677306268,1.0,0.8333333333333334
LGBMClassifier,0.9743589743589743,0.9166666666666667,0.9733848241310928,0.8993461677306268,1.0,0.8333333333333334
DecisionTreeClassifier,0.9743589743589743,0.9166666666666667,0.9733848241310928,0.8993461677306268,1.0,0.8333333333333334
GaussianNB,0.9743589743589743,0.9166666666666667,0.9733848241310928,0.8993461677306268,1.0,0.8333333333333334
BernoulliNB,0.9743589743589743,0.9166666666666667,0.9733848241310928,0.8993461677306268,1.0,0.8333333333333334
NearestCentroid,0.9230769230769231,0.8863636363636365,0.9254437869822485,0.7264986749301919,0.7142857142857143,0.8333333333333334
AdaBoostClassifier,0.9487179487179487,0.8333333333333333,0.9443438914027149,0.7928249671720919,1.0,0.6666666666666666
XGBClassifier,0.9487179487179487,0.8333333333333333,0.9443438914027149,0.7928249671720919,1.0,0.6666666666666666
BaggingClassifier,0.9487179487179487,0.8333333333333333,0.9443438914027149,0.7928249671720919,1.0,0.6666666666666666
ExtraTreesClassifier,0.9487179487179487,0.8333333333333333,0.9443438914027149,0.7928249671720919,1.0,0.6666666666666666
SVC,0.9487179487179487,0.8333333333333333,0.9443438914027149,0.7928249671720919,1.0,0.6666666666666666
CalibratedClassifierCV,0.9487179487179487,0.8333333333333333,0.9443438914027149,0.7928249671720919,1.0,0.6666666666666666
RandomForestClassifier,0.9487179487179487,0.8333333333333333,0.9443438914027149,0.7928249671720919,1.0,0.6666666666666666
KNeighborsClassifier,0.9230769230769231,0.8181818181818181,0.9201544723932784,0.686773437176115,0.8,0.6666666666666666
ExtraTreeClassifier,0.7692307692307693,0.6590909090909092,0.7868131868131869,0.27247463045653303,0.3333333333333333,0.5
LabelPropagation,0.8461538461538461,0.5,0.7756410256410257,0.0,0.0,0.0
LabelSpreading,0.8461538461538461,0.5,0.7756410256410257,0.0,0.0,0.0
DummyClassifier,0.8461538461538461,0.5,0.7756410256410257,0.0,0.0,0.0
QuadraticDiscriminantAnalysis,0.28205128205128205,0.4393939393939394,0.3162393162393163,-0.1037998592215364,0.13333333333333333,0.6666666666666666
