Model,Accuracy,Balanced Accuracy,F1 Score,matthews_corrcoef,precision_score,recall_score
LGBMClassifier,1.0,1.0,1.0,1.0,1.0,1.0
LinearDiscriminantAnalysis,1.0,1.0,1.0,1.0,1.0,1.0
RidgeClassifierCV,1.0,1.0,1.0,1.0,1.0,1.0
RidgeClassifier,1.0,1.0,1.0,1.0,1.0,1.0
LogisticRegression,1.0,1.0,1.0,1.0,1.0,1.0
AdaBoostClassifier,0.9714285714285714,0.9852941176470589,0.9759772565742714,0.696630546019236,0.5,1.0
BernoulliNB,0.9714285714285714,0.9852941176470589,0.9759772565742714,0.696630546019236,0.5,1.0
DecisionTreeClassifier,0.9428571428571428,0.9705882352941176,0.9562770562770563,0.5601120336112039,0.3333333333333333,1.0
NearestCentroid,0.9142857142857143,0.9558823529411764,0.938021978021978,0.47743185531611554,0.25,1.0
SGDClassifier,0.7714285714285715,0.8823529411764706,0.8476190476190476,0.2914915440650687,0.1111111111111111,1.0
Perceptron,0.7714285714285715,0.8823529411764706,0.8476190476190476,0.2914915440650687,0.1111111111111111,1.0
PassiveAggressiveClassifier,0.7142857142857143,0.8529411764705883,0.8087027914614122,0.25332019855244947,0.09090909090909091,1.0
LinearSVC,0.7142857142857143,0.8529411764705883,0.8087027914614122,0.25332019855244947,0.09090909090909091,1.0
BaggingClassifier,0.9714285714285714,0.5,0.9573498964803312,0.0,0.0,0.0
DummyClassifier,0.9714285714285714,0.5,0.9573498964803312,0.0,0.0,0.0
LabelSpreading,0.9714285714285714,0.5,0.9573498964803312,0.0,0.0,0.0
ExtraTreesClassifier,0.9714285714285714,0.5,0.9573498964803312,0.0,0.0,0.0
LabelPropagation,0.9714285714285714,0.5,0.9573498964803312,0.0,0.0,0.0
RandomForestClassifier,0.9714285714285714,0.5,0.9573498964803312,0.0,0.0,0.0
CalibratedClassifierCV,0.9714285714285714,0.5,0.9573498964803312,0.0,0.0,0.0
KNeighborsClassifier,0.9714285714285714,0.5,0.9573498964803312,0.0,0.0,0.0
GaussianNB,0.9714285714285714,0.5,0.9573498964803312,0.0,0.0,0.0
SVC,0.9714285714285714,0.5,0.9573498964803312,0.0,0.0,0.0
XGBClassifier,0.9714285714285714,0.5,0.9573498964803312,0.0,0.0,0.0
ExtraTreeClassifier,0.9428571428571428,0.4852941176470588,0.9428571428571428,-0.029411764705882353,0.0,0.0
QuadraticDiscriminantAnalysis,0.34285714285714286,0.17647058823529413,0.49604863221884504,-0.22310032643658007,0.0,0.0
