,Feature,Gini,Importance (split),Importance (weight)
0,ENSG00000205795,0.017169225015248857,13.0,
1,ENSG00000139289,0.014353956926700018,3.0,
2,ENSG00000115602,0.00825397901930252,4.0,
3,ENSG00000169436,0.008178539153300243,5.0,
4,ENSG00000123243,0.008039927050999837,8.0,
5,ENSG00000113916,0.007403444512435461,12.0,
6,ENSG00000213694,0.006786077488599281,7.0,
7,ENSG00000100206,0.006339090697232007,4.0,
8,ENSG00000181195,0.005997141305540878,4.0,
9,ENSG00000205795,0.017169225015248857,,0.07483196
10,ENSG00000162998,0.015474602018048534,,0.062408194
11,ENSG00000169436,0.008178539153300243,,0.004875961
12,ENSG00000123243,0.008039927050999837,,0.0063478686
13,ENSG00000113916,0.007403444512435461,,0.01495079
14,ENSG00000111452,0.007202532937208752,,0.01271791
15,ENSG00000213694,0.006786077488599281,,0.013906435
16,ENSG00000100206,0.006339090697232007,,0.0023032895
17,ENSG00000164694,,51.0,0.2572673
18,ENSG00000112562,,8.0,0.08871876
19,ENSG00000205795,,13.0,0.07483196
20,ENSG00000233485,,29.0,0.044207793
21,ENSG00000120910,,18.0,0.039543115
22,ENSG00000008394,,4.0,0.026136039
23,ENSG00000113916,,12.0,0.01495079
24,ENSG00000213694,,7.0,0.013906435
25,ENSG00000164946,,3.0,0.008219544
26,ENSG00000211445,,5.0,0.0067189424
27,ENSG00000123243,,8.0,0.0063478686
28,ENSG00000182197,,4.0,0.006117918
29,ENSG00000169436,,5.0,0.004875961
30,ENSG00000100206,,4.0,0.0023032895
