,Feature,Gini,Importance (split),Importance (weight)
0,ENSG00000205795,0.017169225015248857,13.0,
1,ENSG00000139289,0.014353956926700018,3.0,
2,ENSG00000095587,0.01120291363718121,1.0,
3,ENSG00000073008,0.009278976699629493,1.0,
4,ENSG00000115602,0.00825397901930252,4.0,
5,ENSG00000169436,0.008178539153300243,5.0,
6,ENSG00000123243,0.008039927050999837,8.0,
7,ENSG00000113916,0.007403444512435461,12.0,
8,ENSG00000056736,0.006823685054290697,3.0,
9,ENSG00000213694,0.006786077488599281,7.0,
10,ENSG00000100206,0.006339090697232007,4.0,
11,ENSG00000075413,0.006180346127973049,2.0,
12,ENSG00000169126,0.006010878604564063,2.0,
13,ENSG00000181195,0.005997141305540878,4.0,
14,ENSG00000162383,0.005707936896769709,1.0,
15,ENSG00000069702,0.005401948242544635,3.0,
16,ENSG00000149575,0.00509149425404141,2.0,
17,ENSG00000245164,0.004342208660648523,4.0,
18,ENSG00000177575,0.0036461389578807445,1.0,
19,ENSG00000164694,0.003262059641099882,51.0,
20,ENSG00000106483,0.003237446307477252,2.0,
21,ENSG00000115107,0.0029958875984274734,1.0,
22,ENSG00000112562,0.0028306326886820437,8.0,
23,ENSG00000197616,0.0020458086835805672,2.0,
24,ENSG00000120910,0.0020308970464611798,18.0,
25,ENSG00000087903,0.001491086167734781,1.0,
26,ENSG00000184005,0.0014291556173050982,2.0,
27,ENSG00000120915,0.0012364177141174772,2.0,
28,ENSG00000155659,0.0010112971361138205,1.0,
29,ENSG00000154222,0.0009617521145955235,1.0,
30,ENSG00000142748,0.0009064108305856744,1.0,
31,ENSG00000072840,0.0007984573201964508,3.0,
32,ENSG00000103528,0.0006752288329090215,2.0,
33,ENSG00000142621,0.0006469831865753027,1.0,
34,ENSG00000168824,0.0005989092874338776,1.0,
35,ENSG00000106511,0.000540028784553139,3.0,
36,ENSG00000143595,0.0005145003734920526,8.0,
37,ENSG00000265356,0.00044282404770042914,1.0,
38,ENSG00000113578,0.00043913153849408406,1.0,
39,ENSG00000186529,0.00039974544511749605,3.0,
40,ENSG00000171533,0.0003926966993198978,1.0,
41,ENSG00000115446,0.0003028571428571429,1.0,
42,ENSG00000170745,0.0002986680083059006,42.0,
43,ENSG00000106013,0.00029860990176092746,1.0,
44,ENSG00000003436,0.00029710245029439985,1.0,
45,ENSG00000108788,0.00029701612955516563,3.0,
46,ENSG00000198756,0.0002967198752224667,1.0,
47,ENSG00000116237,0.00029159246550550895,1.0,
48,ENSG00000131467,0.0002731078904991948,1.0,
49,ENSG00000196218,0.00027003961430190944,1.0,
50,ENSG00000152767,0.0002618179054567564,1.0,
51,ENSG00000205795,0.017169225015248857,,0.07483196
52,ENSG00000162998,0.015474602018048534,,0.062408194
53,ENSG00000169436,0.008178539153300243,,0.004875961
54,ENSG00000123243,0.008039927050999837,,0.0063478686
55,ENSG00000113916,0.007403444512435461,,0.01495079
