,Feature,Gini,Importance (split),Importance (weight)
0,ENSG00000162998,0.8956228956228955,5.0,
1,ENSG00000162998,0.8956228956228955,,0.33189586
2,ENSG00000112562,0.10437710437710444,,0.061872408
3,ENSG00000196923,0.0,,0.0
4,ENSG00000196951,0.0,,0.0
5,ENSG00000196950,0.0,,0.0
6,ENSG00000196943,0.0,,0.0
7,ENSG00000196937,0.0,,0.0
8,ENSG00000196935,0.0,,0.0
9,ENSG00000196932,0.0,,0.0
10,ENSG00000196924,0.0,,0.0
11,ENSG00000196922,0.0,,0.0
12,ENSG00000196960,0.0,,0.0
13,ENSG00000196914,0.0,,0.0
14,ENSG00000196912,0.0,,0.0
15,ENSG00000196954,0.0,,0.0
16,ENSG00000197006,0.0,,0.0
17,ENSG00000197019,0.0,,0.0
18,ENSG00000197016,0.0,,0.0
19,ENSG00000197013,0.0,,0.0
20,ENSG00000197008,0.0,,0.0
21,ENSG00000196981,0.0,,0.0
22,ENSG00000196712,0.0,,0.0
23,ENSG00000162998,,5.0,0.33189586
24,ENSG00000182107,,7.0,0.15955035
25,ENSG00000121005,,8.0,0.059932258
26,ENSG00000198033,,13.0,0.050668444
27,ENSG00000175220,,5.0,0.034666482
28,ENSG00000138356,,3.0,0.02366033
