,Feature,Gini
14783,ENSG00000205795,0.016012250401502816
9421,ENSG00000162998,0.013482135940252072
1182,ENSG00000075413,0.011331471459756713
10787,ENSG00000169436,0.010615456776605851
6824,ENSG00000139289,0.010379376273638613
2090,ENSG00000100450,0.009871424241523395
14284,ENSG00000198768,0.009813546700141305
12294,ENSG00000179954,0.009655015579768415
1856,ENSG00000096060,0.008277326725166937
16720,ENSG00000233098,0.008157756249695771
2014,ENSG00000100234,0.007861257571621089
19801,ENSG00000267577,0.007768217602685569
4764,ENSG00000123243,0.007015607581693662
15095,ENSG00000213694,0.0069050597412613525
8042,ENSG00000149633,0.006839723847069541
8915,ENSG00000158859,0.006726750004083292
13197,ENSG00000186160,0.006320599036714912
9282,ENSG00000162383,0.006303425329663512
5159,ENSG00000126878,0.005771525273626216
10755,ENSG00000169245,0.005736603382547552
1846,ENSG00000095587,0.005676738680414728
9456,ENSG00000163145,0.005631015950346316
7398,ENSG00000143768,0.005512450823797096
12442,ENSG00000181195,0.005468626418584113
11700,ENSG00000175356,0.005418821956697367
3471,ENSG00000111452,0.005370621281037966
9861,ENSG00000164694,0.005326002242124529
11282,ENSG00000172458,0.005278422859236157
12812,ENSG00000183801,0.005266317722359721
7272,ENSG00000143153,0.0052294180504183245
5632,ENSG00000131386,0.00522284606644691
2218,ENSG00000101187,0.004902898543135116
1100,ENSG00000073008,0.004869549252589705
6965,ENSG00000140459,0.004815821393530042
12198,ENSG00000179136,0.004786353944786844
14719,ENSG00000205221,0.004692414565822345
12377,ENSG00000180730,0.004688409354869686
150,ENSG00000007062,0.004647339724077366
9077,ENSG00000160310,0.004645512523074092
2512,ENSG00000103316,0.004570711752197152
7254,ENSG00000142973,0.00443732515835054
7248,ENSG00000142920,0.004359563120598887
481,ENSG00000035862,0.004303020670117373
9441,ENSG00000163082,0.004295913123364267
10018,ENSG00000165511,0.004283326138826071
5268,ENSG00000128262,0.004251399740495829
8035,ENSG00000149575,0.004227155538997578
14553,ENSG00000204291,0.004199005283856875
13473,ENSG00000188257,0.004186136875040683
329,ENSG00000016391,0.004169618969395071
2091,ENSG00000100453,0.004151795904062509
4140,ENSG00000116962,0.004129863951377693
4894,ENSG00000124479,0.004069008178024042
12547,ENSG00000182179,0.004064192246278778
15489,ENSG00000221972,0.004049620143742524
10730,ENSG00000169126,0.003960045319996271
12504,ENSG00000181852,0.003922976574860478
4325,ENSG00000118898,0.0039001699913773402
6517,ENSG00000137393,0.003891631796681949
96,ENSG00000005844,0.003878734634696837
8644,ENSG00000156219,0.003873195728801061
4790,ENSG00000123505,0.003845566912419757
91,ENSG00000005513,0.0038383540591077157
7619,ENSG00000145623,0.0038226183881620423
8940,ENSG00000159166,0.003812734623261319
13249,ENSG00000186466,0.0038099088732669183
3590,ENSG00000112280,0.003792298346716534
4317,ENSG00000118777,0.003739328408098436
19808,ENSG00000267653,0.003695573831806973
